ID,Case_Number,Date,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year,Updated_On,Latitude,Longitude,Location
6003021,HP103138,01/02/2008 07:52:09 PM,056XX S CALUMET AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,234,2,20,40,08B,1179448,1867627,2008,02/28/2018 03:56:25 PM,41.792052214,-87.617527129,"(41.792052214, -87.617527129)"
6003022,HP106824,01/04/2008 09:20:00 PM,003XX S HAMLIN BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1133,11,24,26,14,1151105,1897969,2008,02/28/2018 03:56:25 PM,41.875915206,-87.720663353,"(41.875915206, -87.720663353)"
6003024,HN778391,12/26/2007 01:47:05 PM,028XX W FIFTH AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1124,11,2,27,18,1157275,1899724,2007,02/28/2018 03:56:25 PM,41.880608006,-87.697961529,"(41.880608006, -87.697961529)"
6003025,HP103185,01/02/2008 08:33:46 PM,005XX E BROWNING AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,true,false,212,2,4,35,26,1180453,1881415,2008,02/28/2018 03:56:25 PM,41.829864596,-87.613418466,"(41.829864596, -87.613418466)"
6003027,HN784087,12/29/2007 10:35:00 PM,047XX W MADISON ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1113,11,28,25,16,1144849,1899602,2007,02/28/2018 03:56:25 PM,41.8805166,-87.74359218,"(41.8805166, -87.74359218)"
6003032,HN783962,12/29/2007 09:04:06 PM,040XX W WILCOX ST,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE PORCH/HALLWAY,true,false,1115,11,28,26,18,1149536,1899031,2007,02/28/2018 03:56:25 PM,41.878860042,-87.726396631,"(41.878860042, -87.726396631)"
6003034,HP101914,01/02/2008 08:41:26 AM,051XX S CALUMET AVE,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,STREET,false,false,234,2,3,40,26,1179362,1871102,2008,02/28/2018 03:56:25 PM,41.801589896,-87.617736401,"(41.801589896, -87.617736401)"
6003035,HN750427,12/09/2007 04:30:00 PM,007XX E 83RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,631,6,6,44,18,1182859,1850131,2007,02/28/2018 03:56:25 PM,41.743962868,-87.605562531,"(41.743962868, -87.605562531)"
6003036,HP110726,01/06/2008 07:00:00 PM,037XX N MARSHFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1923,19,47,6,14,1164658,1924830,2008,02/28/2018 03:56:25 PM,41.949347317,-87.670138991,"(41.949347317, -87.670138991)"
6003040,HP110382,01/07/2008 02:25:00 AM,058XX W FULTON ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1512,15,29,25,08B,1137505,1901419,2008,02/28/2018 03:56:25 PM,41.885638003,-87.770515295,"(41.885638003, -87.770515295)"
6003041,HN783682,12/29/2007 05:15:00 PM,036XX W 25TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,1013,10,22,30,18,1152602,1887157,2007,02/28/2018 03:56:25 PM,41.84621638,-87.715452568,"(41.84621638, -87.715452568)"
6003042,HP108054,01/05/2008 01:00:00 AM,020XX W 80TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,611,6,18,71,14,1164087,1851598,2008,02/28/2018 03:56:25 PM,41.748403613,-87.67430373,"(41.748403613, -87.67430373)"
6003044,HN750509,12/09/2007 04:38:00 PM,077XX S STATE ST,2091,NARCOTICS,FORFEIT PROPERTY,CAR WASH,true,false,623,6,6,69,26,1177624,1853795,2007,02/28/2018 03:56:25 PM,41.754137211,-87.624633337,"(41.754137211, -87.624633337)"
6003046,HP110767,01/07/2008 09:30:00 AM,074XX S CRANDON AVE,890,THEFT,FROM BUILDING,APARTMENT,false,false,333,3,7,43,6,1192833,1856065,2008,02/28/2018 03:56:25 PM,41.760008963,-87.568824269,"(41.760008963, -87.568824269)"
6003050,HN762843,12/16/2007 10:20:00 PM,115XX S MICHIGAN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,532,5,9,53,18,1178886,1828586,2007,02/28/2018 03:56:25 PM,41.68493182,-87.620773176,"(41.68493182, -87.620773176)"
6003055,HP108993,01/06/2008 05:20:00 AM,036XX W GRENSHAW ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1133,11,24,29,08B,1152183,1894795,2008,02/28/2018 03:56:25 PM,41.867184214,-87.716789003,"(41.867184214, -87.716789003)"
6003056,HP102333,01/02/2008 01:18:15 PM,036XX S MICHIGAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,211,2,3,35,14,1177787,1881111,2008,02/28/2018 03:56:25 PM,41.829091287,-87.623209136,"(41.829091287, -87.623209136)"
6003059,HP102491,01/02/2008 02:12:15 PM,038XX S DR MARTIN LUTHER KING JR DR,842,THEFT,AGG: FINANCIAL ID THEFT,NURSING HOME/RETIREMENT HOME,true,false,211,2,3,35,6,1179485,1879705,2008,02/28/2018 03:56:25 PM,41.825194431,-87.617022328,"(41.825194431, -87.617022328)"
6003060,HP110895,01/05/2008 04:00:00 PM,074XX S LANGLEY AVE,620,BURGLARY,UNLAWFUL ENTRY,CONSTRUCTION SITE,false,false,323,3,6,69,5,1182179,1855935,2008,02/28/2018 03:56:25 PM,41.759905419,-87.607874774,"(41.759905419, -87.607874774)"
6003061,HN783852,12/29/2007 07:31:50 PM,042XX W ADAMS ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1115,11,28,26,18,1148123,1898673,2007,02/28/2018 03:56:25 PM,41.877904952,-87.731594161,"(41.877904952, -87.731594161)"
6003063,HP110978,01/04/2008 03:30:00 PM,004XX W DIVISION ST,890,THEFT,FROM BUILDING,APARTMENT,false,false,1823,18,27,8,6,1173073,1908287,2008,02/28/2018 03:56:25 PM,41.903769788,-87.63969883,"(41.903769788, -87.63969883)"
6003066,HP102260,01/02/2008 12:21:48 PM,045XX S INDIANA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,221,2,3,38,08B,1178363,1874896,2008,02/28/2018 03:56:25 PM,41.812023733,-87.621284805,"(41.812023733, -87.621284805)"
6003070,HN759690,12/14/2007 08:57:00 PM,031XX N PULASKI RD,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,2523,25,31,21,16,1149181,1920480,2007,02/28/2018 03:56:25 PM,41.937725094,-87.72714355,"(41.937725094, -87.72714355)"
6003071,HP102320,01/02/2008 12:30:00 PM,045XX S ST LAWRENCE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,false,222,2,3,38,08B,1181021,1875117,2008,02/28/2018 03:56:25 PM,41.812569326,-87.611528618,"(41.812569326, -87.611528618)"
6003074,HP100147,01/01/2008 01:47:36 AM,055XX S COTTAGE GROVE AVE,460,BATTERY,SIMPLE,CTA BUS,false,false,234,2,20,40,08B,1182525,1868549,2008,02/28/2018 03:56:25 PM,41.794511404,-87.606215806,"(41.794511404, -87.606215806)"
6003075,HN775159,12/23/2007 09:30:00 PM,110XX S STATE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,513,5,34,49,18,1178219,1831609,2007,02/28/2018 03:56:25 PM,41.693242487,-87.623123637,"(41.693242487, -87.623123637)"
6003078,HP105729,01/04/2008 11:00:00 AM,088XX S ASHLAND AVE,890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,false,false,2221,22,21,71,6,1167221,1845934,2008,02/28/2018 03:56:25 PM,41.732794335,-87.662981316,"(41.732794335, -87.662981316)"
